,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:09,259","00:00:12,762",[techno music playing],line_0000.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.026696697000000002,0.016142238,0.06570269,0.049560454000000004,0.00789431,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,9.26,12.76
1,"00:00:12,846","00:00:15,849",We're in Denver. I have what I'm hoping is altitude sickness,line_0001.wav,20.124336,151.0274,-1.0,152.0274,39.857535999999996,0.7367979882648784,0.035240013,0.0054334654,0.08111144599999999,0.07567798,0.021129929,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.5555555555555556,6.0,0.05357142857142857,0.8035714285714286,0.14285714285714285,3.7692307692307687,0.7479152679443359,0.9230769230769232,13.0,"['we_are', 'are_in', 'in_denver', 'denver_i', 'i_have', 'have_what', 'what_i', 'i_am', 'am_hoping', 'hoping_is', 'is_altitude', 'altitude_sickness']",0.0,0.09273256361484528,6.0,4.329004329004329,5.9940059940059935,0,0.0,,,,12.85,15.85
2,"00:00:15,932","00:00:18,143","and not some, like, weird form of meningitis.",line_0002.wav,12.507692,111.36363999999999,-1.0,112.36363999999999,27.435246000000003,0.7770193401592719,0.023988133,0.0036445444,0.074414484,0.07076994,0.01827946,0.2,0.2,0.2,0.4,0.0,0.0,3.5,0.5,0.5,0.0,4.375,0.6854037046432495,0.875,8.0,"['and_not', 'not_some', 'some_like', 'like_weird', 'weird_form', 'form_of', 'of_meningitis']",0.0,0.061484247446060174,3.5,3.618272274988693,4.975124378109452,0,0.0,,,,15.93,18.14
3,"00:00:18,226","00:00:21,187","They keep telling me it's not meningitis, but they don't know.",line_0003.wav,19.647657000000002,68.90625,-1.0,69.90625,25.875704000000002,0.6027049873203719,0.018701993,0.0037071605,0.06860466,0.0648975,0.01327255,0.0,0.25,0.0,0.125,0.0,0.625,6.0,0.25,0.71875,0.03125,3.8461538461538463,0.9999998807907104,0.9230769230769232,13.0,"['they_keep', 'keep_telling', 'telling_me', 'me_it', 'it_is', 'is_not', 'not_meningitis', 'meningitis_but', 'but_they', 'they_do', 'do_not', 'not_know']",0.0,0.02306384220719337,6.0,4.390408645727792,5.7413036136440345,0,0.0,,,,18.23,21.19
4,"00:00:21,271","00:00:22,564",We've got an amazing crowd.,line_0004.wav,25.567158,56.976746,-1.0,57.976746,23.479065,0.43478260869565216,0.03864885,0.0053125606,0.09431246,0.08899989999999999,0.02171799,0.2,0.0,0.2,0.2,0.0,0.4,2.5,0.0625,0.71875,0.21875,3.8333333333333335,0.7374206185340881,0.8333333333333334,6.0,"['we_have', 'have_got', 'got_an', 'an_amazing', 'amazing_crowd']",0.0,0.2590306103229523,2.5,4.6403712296983795,6.1871616395978375,0,0.0,,,,21.27,22.56
5,"00:00:22,647","00:00:25,442","All the tickets are gone, which is great. All fans.",line_0005.wav,10.001443,88.2,-1.0,89.2,22.807207000000002,0.7994604316546763,0.022174582,0.005356645,0.06235923,0.05700258,0.0134287765,0.3,0.0,0.2,0.2,0.0,0.3,4.5,0.03571428571428571,0.8928571428571429,0.07142857142857142,3.9,0.7189056873321533,0.9,10.0,"['all_the', 'the_tickets', 'tickets_are', 'are_gone', 'gone_which', 'which_is', 'is_great', 'great_all', 'all_fans']",0.0,0.1384081393480301,4.5,3.5778175313059015,3.935599284436492,0,0.0,,,,22.65,25.44
6,"00:00:25,525","00:00:28,528",People who are coming to my show should expect a healthy dose,line_0006.wav,13.170860999999999,81.06618,-1.0,82.06618,23.659018,0.7286432160804021,0.03301736,0.008129384,0.09365971,0.08553032599999999,0.021416057000000002,0.18181818181818185,0.0,0.09090909090909093,0.3636363636363637,0.0,0.3636363636363637,5.5,0.046875,0.796875,0.15625,4.166666666666667,0.6873143911361694,0.9166666666666666,12.0,"['people_who', 'who_are', 'are_coming', 'coming_to', 'to_my', 'my_show', 'show_should', 'should_expect', 'expect_a', 'a_healthy', 'healthy_dose']",0.0,0.20460018515586853,5.5,3.996003996003996,5.328005328005328,0,0.0,,,,25.52,28.53
7,"00:00:28,611","00:00:31,406","of very honest, hilarious, aggressive comedy.",line_0007.wav,18.45709,94.23076999999999,-1.0,95.23076999999999,29.096548,0.6606498194945848,0.026213032999999997,0.007442201,0.078487575,0.07104538,0.017351646000000002,0.6,0.2,0.0,0.2,0.0,0.0,2.5,0.15,0.55,0.3,6.166666666666668,0.6912155747413635,0.8333333333333334,6.0,"['of_very', 'very_honest', 'honest_hilarious', 'hilarious_aggressive', 'aggressive_comedy']",0.0,0.12695303559303284,2.5,2.146690518783544,5.366726296958858,0,0.0,,,,28.61,31.41
8,"00:00:31,489","00:00:34,826","The special's called  Freezing Hot , so the set is freezing hot.",line_0008.wav,2.15276,76.034485,-1.0,77.034485,13.550197,0.9471299093655591,0.023958938,0.008939028,0.0896467,0.08070767,0.015385875,0.09090909090909093,0.09090909090909093,0.18181818181818185,0.18181818181818185,0.18181818181818185,0.2727272727272727,6.0,0.017857142857142856,0.8928571428571429,0.08928571428571429,4.454545454545454,0.9999999403953552,0.9230769230769232,11.0,"['the_specials', 'specials_called', 'called_', '_freezing', 'freezing_hot', 'hot_', '_so', 'so_the', 'the_set', 'set_is', 'is_freezing', 'freezing_hot']",0.0,0.0,6.0,3.2963739886125265,4.195385076415944,0,0.0,,,,31.49,34.83
9,"00:00:34,909","00:00:38,163","There's a big old explosion in the background, palm trees and snow,",line_0009.wav,12.847961999999999,95.86957,-1.0,96.86957,26.513876,0.7746913580246914,0.024791485,0.008924583,0.06554328,0.056618697999999995,0.015620578999999999,0.18181818181818185,0.09090909090909093,0.18181818181818185,0.4545454545454545,0.0,0.09090909090909093,6.0,0.027777777777777776,0.875,0.09722222222222222,4.153846153846153,0.6350468397140503,0.9230769230769232,13.0,"['there_is', 'is_a', 'a_big', 'big_old', 'old_explosion', 'explosion_in', 'in_the', 'the_background', 'background_palm', 'palm_trees', 'trees_and', 'and_snow']",0.0,0.1349598616361618,6.0,3.995082974800249,4.9170251997541525,1,0.5399999999999991,"#0, ","38.04, ","38.58, ",34.91,38.16
