,start_time,end_time,line,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:04,173","00:00:05,591",Voicemail again?,0,0.0,,,,4.17,5.59
1,"00:00:06,092","00:00:07,677","Yo, Che!",0,0.0,,,,6.09,7.68
2,"00:00:09,137","00:00:11,305","What they doing out here, man?",0,0.0,,,,9.14,11.3
3,"00:00:11,973","00:00:15,435","People out here doing specials, they just up there, just talking.",0,0.0,,,,11.97,15.44
4,"00:00:16,477","00:00:18,771",[sighs] What they doing up there?,0,0.0,,,,16.48,18.77
5,"00:00:19,647","00:00:23,526","Like, they don't even make their specials special no more.",0,0.0,,,,19.65,23.53
6,"00:00:23,609","00:00:27,113","You talking more like, that night, like the leather suit special.",0,0.0,,,,23.61,27.11
7,"00:00:27,196","00:00:29,657",Remember when they used to do that back in the day?,0,0.0,,,,27.2,29.66
8,"00:00:29,741","00:00:31,075","Remember when they came out,",0,0.0,,,,29.74,31.07
9,"00:00:31,159","00:00:35,204","they knew it would be their night, or some kind of extraness?",1,8.32,"#1, ","34.3, ","42.62, ",31.16,35.2
10,"00:00:35,288","00:00:38,416","Yo, these dudes going on stage but they ain't saying nothing.",0,0.0,,,,35.29,38.42
11,"00:00:38,499","00:00:42,670","You gotta say something that matters, Che, like what's going on, man.",0,0.0,,,,38.5,42.67
12,"00:00:42,754","00:00:44,589","And I like you did it in the right spot,",1,4.630000000000003,"#2, ","43.18, ","47.81, ",42.75,44.59
13,"00:00:44,672","00:00:48,301","say it the way you wanna say it, say it the way you feel, don't hold back.",1,52.16,"#3, ","50.86, ","103.02, ",44.67,48.3
14,"00:00:51,637","00:00:54,932",[cheering and applause],0,0.0,,,,51.64,54.93
15,"00:00:55,016","00:00:57,977",[plays drum solo],0,0.0,,,,55.02,57.98
16,"00:00:59,479","00:01:02,982",[band play heavy rock],0,0.0,,,,59.48,62.98
17,"00:01:03,066","00:01:04,567","Ladies and gentlemen,",0,0.0,,,,63.07,64.57
18,"00:01:04,650","00:01:07,403",I need you to make some noise right now.,0,0.0,,,,64.65,67.4
19,"00:01:07,487","00:01:08,863",[cheering and applause],0,0.0,,,,67.49,68.86
20,"00:01:08,946","00:01:12,992",Give it up for Michael Che!,0,0.0,,,,68.95,72.99
21,"00:01:13,076","00:01:16,996",[cheering and applause],0,0.0,,,,73.08,77.0
22,"00:01:24,003","00:01:25,588",Oh!,0,0.0,,,,84.0,85.59
23,"00:01:25,671","00:01:28,508",[cheering and applause],0,0.0,,,,85.67,88.51
24,"00:01:31,010","00:01:32,345",Thank you!,0,0.0,,,,91.01,92.34
25,"00:01:32,428","00:01:35,556",[cheering and applause],0,0.0,,,,92.43,95.56
26,"00:01:35,640","00:01:37,558",Thank you so much!,0,0.0,,,,95.64,97.56
27,"00:01:37,642","00:01:39,393",Holy shit!,0,0.0,,,,97.64,99.39
28,"00:01:39,477","00:01:42,188",[cheering],0,0.0,,,,99.48,102.19
29,"00:01:42,271","00:01:44,273",That makes me feel good.,1,1.8900000000000006,"#4, ","103.66, ","105.55, ",102.27,104.27
30,"00:01:44,357","00:01:45,775",[laughter],0,0.0,,,,104.36,105.78
31,"00:01:45,858","00:01:47,151",I had a rough day.,0,0.0,,,,105.86,107.15
32,"00:01:48,152","00:01:49,612",That made me feel better.,1,2.4799999999999898,"#5, ","108.54, ","111.02, ",108.15,109.61
33,"00:01:49,695","00:01:50,738",[laughter],0,0.0,,,,109.69,110.74
34,"00:01:50,822","00:01:53,324",I had a homeless guy call me a nigger on the train.,1,3.489999999999995,"#6, ","112.7, ","116.19, ",110.82,113.32
35,"00:01:53,407","00:01:55,827",[laughter],0,0.0,,,,113.41,115.83
36,"00:01:55,910","00:01:59,288",I let him because he was homeless and I thought that was the rule.,1,2.410000000000011,"#7, ","118.77, ","121.18, ",115.91,119.29
37,"00:01:59,372","00:02:00,456",[laughter],0,0.0,,,,119.37,120.46
38,"00:02:00,540","00:02:04,210",I thought you're supposed to let homeless people say whatever the fuck they want,1,0.8400000000000034,"#8, ","123.61, ","124.45, ",120.54,124.21
39,"00:02:04,293","00:02:06,337",then just act like you don't see them.,1,5.549999999999997,"#9, ","125.17, ","130.72, ",124.29,126.34
40,"00:02:06,420","00:02:07,922",[laughter],0,0.0,,,,126.42,127.92
41,"00:02:08,005","00:02:09,882","Fuck you. That's just me, really?",0,0.0,,,,128.0,129.88
42,"00:02:10,758","00:02:13,177","When a homeless guy gets on a train and yells awful shit,",0,0.0,,,,130.76,133.18
43,"00:02:13,261","00:02:17,723","I turn into one of those British guards, I stand still and look straight ahead,",1,13.960000000000008,"#10, ","134.31, ","148.27, ",133.26,137.72
44,"00:02:17,807","00:02:21,310","""Say whatever you want, homeless man. You can never break me.""",0,0.0,,,,137.81,141.31
45,"00:02:21,394","00:02:22,311",[laughter],0,0.0,,,,141.39,142.31
46,"00:02:22,395","00:02:24,856","""Just don't touch me with anything wet.""",0,0.0,,,,142.4,144.86
47,"00:02:24,939","00:02:27,275",[laughter],0,0.0,,,,144.94,147.28
